School,Conference,Wins,Losses,W-L%,Team Points per Game,Team Points per Game Allowed,Team Rebounds per Game,Strength of Schedule,Team Field Goal %,Team 3-Point %,Team Free Throw %,Offensive Rating,Scoring Leader,Points per Game,Rebounds Leader,Rebounds per Game,Assists Leader,Assists per Game
Boise State,MWC,19,11,0.633,76.5,69.4,34.5,03.86,0.452,0.348,0.749,106.6,Derrick Alston,17.6,Roderick Williams,08.6,Derrick Alston,3.1
Boston College,ACC,13,16,0.448,64.7,69.5,32.8,07.28,0.406,0.301,0.665,093.0,Jay Heath,12.9,Steffon Mitchell,08.4,Derryck Thornton,3.5
Boston University,Patriot,18,13,0.581,71.4,67.2,35.9,-05.24,0.460,0.322,0.657,105.3,Max Mahoney,15.6,Max Mahoney,08.2,Javante McCoy,3.1
Bowling Green State,MAC,21,08,0.724,74.4,72.0,39.9,-00.01,0.421,0.338,0.745,103.6,Justin Turner,18.3,Daeqwon Plowden,08.5,Dylan Frye,4.0
Bradley,MVC,20,11,0.645,71.5,66.1,38.6,00.30,0.440,0.371,0.730,105.3,Darrell Brown,14.8,Koch Bar,07.3,Darrell Brown,4.5
Brigham Young,WCC,24,07,0.774,80.6,68.9,33.1,06.36,0.504,0.424,0.704,113.8,Jake Toolson,15.3,Jake Toolson,04.7,TJ Haws,5.8
Brown,Ivy,13,12,0.520,67.0,69.6,38.4,-01.67,0.400,0.301,0.724,095.1,Brandon Anderson,17.6,Tamenang Choh,08.2,Tamenang Choh,3.3
Bryant,NEC,15,16,0.484,71.3,68.9,40.4,-06.84,0.418,0.324,0.677,100.5,Adam Grant,16.4,Patrick Harding,08.9,Michael Green III,3.2
Bucknell,Patriot,12,19,0.387,68.0,71.9,32.8,-03.89,0.417,0.341,0.696,096.9,Jimmy Sotos,11.7,John Meeks,05.4,Jimmy Sotos,3.9
Buffalo,MAC,18,11,0.621,78.4,75.4,42.3,00.34,0.431,0.322,0.670,103.8,Jayvon Graves,16.9,Josh Mballa,09.4,Davonta Jordan,5.2
Butler,Big_East,20,09,0.690,68.1,62.1,34.6,09.04,0.457,0.334,0.731,105.0,Kamar Baldwin,15.7,Bryce Nze,06.6,Aaron Thompson,4.8
Cal Poly,Big_West,07,21,0.250,67.4,75.0,32.5,-00.08,0.421,0.343,0.689,095.3,Junior Ballard,12.8,Kyle Colvin,03.7,Keith Smith,2.8
Cal State Bakersfield,WAC,12,18,0.400,68.3,67.8,37.1,-03.10,0.439,0.321,0.680,101.3,Taze Moore,11.3,De'Monte Buckingham,04.6,Czar Perry,3.8
Cal State Fullerton,Big_West,10,19,0.345,68.9,72.0,33.7,-01.12,0.434,0.334,0.678,097.0,Brandon Kamga,15.3,Davon Clare,05.7,Austen Awosika,4.1
Cal State Northridge,Big_West,13,17,0.433,75.9,79.2,33.2,-01.18,0.453,0.369,0.725,105.9,Terell Gomez,19.9,Elijah Harkless,05.7,Darius Brown II,3.9
California Baptist,WAC,21,08,0.724,80.7,69.2,41.0,-07.04,0.449,0.382,0.784,113.1,Milan Acquaah,18.2,De'Jon Davis,09.9,Milan Acquaah,5.9
UC-Davis,Big_West,14,16,0.467,73.5,71.8,30.6,-02.63,0.464,0.393,0.787,106.0,Joe Mooney,13.1,Elijah Pepper,05.2,Ezra Manjon,4.1
UC-Irvine,Big_West,21,10,0.677,74.1,65.0,39.5,-01.95,0.474,0.354,0.741,106.9,Collin Welp,13.0,Brad Greene,07.6,Eyassu Worku,4.0
UC-Riverside,Big_West,16,15,0.516,64.3,60.6,36.0,-04.02,0.434,0.348,0.690,099.3,Callum McRae,09.8,Callum McRae,06.2,Khy Kabellis,3.1
UC-Santa Barbara,Big_West,19,10,0.655,71.4,66.7,33.9,-03.82,0.463,0.344,0.756,109.5,Amadou Sow,14.0,Amadou Sow,07.0,Jaquori McLaughlin,3.9
University of California,Pac-12,13,16,0.448,63.7,68.8,32.8,08.75,0.423,0.344,0.729,095.7,Matt Bradley,17.9,Grant Anticevich,05.6,Paris Austin,2.3
Campbell,Big_South,15,15,0.500,68.7,66.4,30.3,-08.01,0.460,0.349,0.732,102.1,Cedric Henderson Jr.,12.3,Cory Gensler,04.7,Ja'cor Nelson,2.3
Canisius,MAAC,10,19,0.345,68.4,71.1,33.0,-05.09,0.434,0.299,0.701,097.2,Majesty Brandon,13.6,Malik Johnson,05.8,Malik Johnson,6.0
Central Arkansas,Southland,10,19,0.345,74.7,82.2,38.5,-01.81,0.421,0.314,0.715,095.8,Rylan Bergersen,15.6,Hayden Koval,07.7,Rylan Bergersen,2.7
Central Connecticut State,NEC,04,27,0.129,63.2,77.3,31.9,-04.53,0.398,0.357,0.676,089.3,Jamir Coleman,09.0,Jamir Coleman,04.8,Jamir Reed,1.8
Central Florida,AAC,14,14,0.500,68.3,68.5,34.8,04.27,0.429,0.316,0.707,098.3,Collin Smith,12.4,Dazon Ingram,07.0,Dazon Ingram,3.7
Central Michigan,MAC,13,16,0.448,78.9,76.4,36.4,-00.20,0.435,0.331,0.736,104.4,David DiLeo,14.8,Kevin McKay,06.6,Devontae Lane,3.4
Charleston Southern,Big_South,13,17,0.433,69.1,72.6,32.4,-06.83,0.426,0.321,0.740,098.9,Phlandrous Fleming Jr.,17.6,Phlandrous Fleming Jr.,08.5,Phlandrous Fleming Jr.,3.5
Charlotte,CUSA,15,12,0.556,67.5,65.5,31.4,-01.50,0.458,0.344,0.705,099.2,Jordan Shepherd,13.9,Jahmir Young,05.2,Jordan Shepherd,4.2
Chattanooga,Southern,19,12,0.613,73.0,68.4,35.3,-02.13,0.451,0.355,0.713,106.3,Matt Ryan,15.8,Ramon Vila,05.5,Maurice Commander,2.6
Chicago State,WAC,04,25,0.138,61.4,81.8,29.2,-02.77,0.412,0.320,0.721,087.4,Xavier Johnson,15.4,Ke'Sean Davis,04.7,Xavier Johnson,2.8
Cincinnati,AAC,18,10,0.643,72.8,67.3,38.1,06.79,0.444,0.316,0.678,101.6,Jarron Cumberland,15.3,Tre Scott,10.5,Jarron Cumberland,4.8
Citadel,Southern,06,23,0.207,74.8,80.7,34.5,-00.95,0.434,0.326,0.685,097.4,Kaelon Harris,14.0,Kaelon Harris,06.9,Tyson Batiste,5.4
Clemson,ACC,15,13,0.536,66.9,63.9,34.0,07.89,0.433,0.321,0.671,099.2,Aamir Simms,13.3,Aamir Simms,07.2,Aamir Simms,2.6
Cleveland State,Horizon,11,20,0.355,64.3,71.5,34.8,-02.48,0.418,0.297,0.667,092.6,Al Eichelberger,14.4,Al Eichelberger,06.5,Craig Beaudion,3.5
Coastal Carolina,Sun_Belt,15,15,0.500,78.1,75.9,40.2,-00.27,0.451,0.335,0.706,105.3,DeVante Jones,16.7,Tommy Burton,07.4,DeVante Jones,5.7
Colgate,Patriot,23,08,0.742,76.0,68.3,36.3,-05.54,0.448,0.362,0.750,109.4,Jordan Burns,15.6,Will Rayman,08.9,Jordan Burns,4.5
College of Charleston,CAA,17,13,0.567,70.3,67.7,32.5,-00.85,0.440,0.343,0.764,104.9,Grant Riller,21.7,Sam Miller,06.0,Grant Riller,3.9
Colorado State,MWC,20,11,0.645,75.6,71.8,35.3,04.25,0.472,0.364,0.674,107.0,Isaiah Stevens,13.0,Nico Carvacho,10.6,Isaiah Stevens,4.6
Colorado,Pac-12,21,09,0.700,70.9,63.4,37.0,08.56,0.439,0.361,0.738,103.9,McKinley Wright IV,14.0,Tyler Bey,09.0,McKinley Wright IV,5.1
Columbia,Ivy,06,22,0.214,66.6,72.0,34.5,-02.66,0.412,0.298,0.737,094.5,Mike Smith,22.8,Ike Nweke,05.5,Mike Smith,4.6
Connecticut,AAC,17,12,0.586,72.4,66.6,38.0,05.10,0.417,0.329,0.741,101.6,Christian Vital,15.6,Christian Vital,06.4,Alterique Gilbert,3.8
Coppin State,MEAC,10,20,0.333,68.2,74.6,38.0,-07.78,0.394,0.282,0.638,091.1,Koby Thomas,13.6,Brendan Medley-Bacon,08.6,Dejuan Clayton,3.4
Cornell,Ivy,06,19,0.240,66.8,70.1,32.6,-01.93,0.434,0.308,0.695,099.5,Jimmy Boeheim,17.3,Jimmy Boeheim,05.9,Terrance McBride,3.2
Creighton,Big_East,22,07,0.759,77.9,69.9,35.2,09.41,0.467,0.376,0.738,110.4,Ty-Shon Alexander,16.9,Damien Jefferson,05.6,Marcus Zegarowski,4.9
Dartmouth,Ivy,12,15,0.444,65.7,64.1,35.0,-03.47,0.442,0.324,0.679,097.7,Chris Knight,14.6,Aaryn Rai,06.6,James Foye,2.2
Davidson,A-10,15,13,0.536,73.0,67.1,33.5,03.26,0.453,0.369,0.760,108.5,Kellan Grady,17.0,Jon Axel Gudmundsson,07.3,Jon Axel Gudmundsson,4.5
Dayton,A-10,27,02,0.931,80.0,65.2,34.7,03.88,0.526,0.364,0.718,116.0,Obi Toppin,19.8,Obi Toppin,07.8,Jalen Crutcher,4.9
Delaware State,MEAC,04,24,0.143,72.6,83.3,34.9,-08.50,0.412,0.312,0.684,094.8,John Crosby,19.2,Ameer Bennett,05.8,John Crosby,3.4
Delaware,CAA,21,10,0.677,74.6,70.6,33.7,-04.02,0.482,0.357,0.762,107.8,Nate Darling,21.1,Justyn Mutts,08.4,Kevin Anderson,3.7
Denver,Summit,07,23,0.233,68.9,76.3,33.3,-02.22,0.442,0.322,0.692,095.2,Ade Murkey,18.6,Ade Murkey,06.0,Roscoe Eastmond,2.8
DePaul,Big_East,14,15,0.483,71.3,70.6,37.4,08.41,0.443,0.320,0.641,098.3,Charlie Moore,15.5,Paul Reed,10.6,Charlie Moore,6.1
Detroit Mercy,Horizon,08,23,0.258,70.2,78.1,36.1,-01.99,0.391,0.323,0.782,099.0,Antoine Davis,24.3,Chris Brandon,08.1,Antoine Davis,4.5
Drake,MVC,18,13,0.581,69.1,67.9,33.5,00.26,0.456,0.340,0.710,101.0,Liam Robbins,13.8,Liam Robbins,06.9,Roman Penn,5.5
Drexel,CAA,13,18,0.419,69.2,71.2,35.4,-02.06,0.446,0.355,0.699,101.0,Camren Wynter,16.1,James Butler,11.6,Camren Wynter,5.3
Duke,ACC,23,06,0.793,82.1,67.7,40.0,07.93,0.470,0.348,0.706,110.5,Vernon Carey Jr.,17.6,Vernon Carey Jr.,08.7,Tre Jones,6.2
Duquesne,A-10,20,08,0.714,71.6,65.8,34.3,01.07,0.445,0.317,0.720,104.8,Marcus Weathers,14.4,Marcus Weathers,07.9,Sincere Carry,5.2
East Carolina,AAC,11,19,0.367,68.3,71.5,35.5,01.71,0.420,0.283,0.723,095.9,Jayden Gardner,19.8,Jayden Gardner,09.3,Tristen Newton,3.7
East Tennessee State,Southern,27,04,0.871,75.9,63.1,35.7,-01.67,0.470,0.341,0.688,111.4,Tray Boyd III,13.6,Lucas N'Guessan,06.0,Isaiah Tisdale,2.9
Eastern Illinois,OVC,16,14,0.533,74.8,69.2,36.7,-07.64,0.460,0.343,0.663,104.5,Josiah Wallace,15.5,George Dixon,08.7,Marvin Johnson,3.1
Eastern Kentucky,OVC,15,16,0.484,76.0,76.8,33.4,-04.60,0.418,0.324,0.732,099.3,Jomaru Brown,18.8,Michael Moreno,06.0,Jomaru Brown,2.8
Eastern Michigan,MAC,16,13,0.552,65.2,62.6,34.2,01.05,0.430,0.285,0.629,095.9,Ty Groce,11.6,Boubacar Toure,09.3,Darion Spottsville,2.3
Eastern Washington,Big_Sky,21,08,0.724,80.4,72.9,38.3,-01.21,0.456,0.346,0.694,107.0,Jacob Davison,18.1,Kim Aiken Jr.,09.8,Ellis Magnuson,4.2
Elon,CAA,11,20,0.355,69.2,72.5,32.6,-01.78,0.417,0.366,0.741,101.6,Marcus Sheffield,18.6,Hunter Woods,06.1,Hunter McIntosh,3.1
Evansville,MVC,09,22,0.290,67.5,74.5,31.4,00.65,0.423,0.323,0.732,097.1,K.J. Riley,12.7,Sam Cunliffe,04.0,K.J. Riley,2.8
Fairfield,MAAC,11,18,0.379,58.7,63.2,34.8,-04.65,0.393,0.291,0.697,090.3,Landon Taliaferro,11.8,Vincent Eze,05.7,Aidas Kavaliauskas,2.5
Fairleigh Dickinson,NEC,11,18,0.379,72.2,74.6,33.3,-05.75,0.454,0.363,0.723,103.7,Jahlil Jenkins,16.2,Kaleb Bishop,08.1,Jahlil Jenkins,3.8
Florida A&M,MEAC,12,14,0.462,67.5,73.5,34.8,-05.95,0.419,0.283,0.637,093.4,Rod Melton Jr,13.5,D.J. Jones,05.8,MJ Randolph,2.8
Florida Atlantic,CUSA,16,14,0.533,70.9,69.1,36.6,-01.31,0.427,0.323,0.706,099.8,Cornelius Taylor,12.0,Jailyn Ingram,05.3,Richardson Maitre,2.5
Florida Gulf Coast,A-Sun,10,21,0.323,61.8,66.3,34.4,-04.21,0.410,0.315,0.691,091.4,Caleb Catto,12.5,Justus Rainwater,05.6,Jalen Warren,3.8
Florida International,CUSA,18,11,0.621,76.3,71.6,35.8,-01.37,0.457,0.349,0.649,102.7,Devon Andrews,15.8,Osasumwen Osaghae,08.1,Antonio Daye Jr,4.8
Florida State,ACC,24,05,0.828,75.3,65.7,35.2,07.72,0.459,0.360,0.755,107.4,Devin Vassell,12.9,Devin Vassell,05.2,Trent Forrest,4.1
Florida,SEC,18,11,0.621,72.1,66.3,35.4,08.87,0.455,0.346,0.725,107.0,Keyontae Johnson,14.0,Kerry Blackshear Jr.,07.6,Andrew Nembhard,5.5
Fordham,A-10,07,21,0.250,57.9,62.3,32.9,-00.04,0.379,0.316,0.640,087.6,Jalen Cobb,10.5,Joel Soriano,05.9,Antwon Portley,2.4
Fresno State,MWC,11,18,0.379,69.1,68.7,37.4,03.46,0.418,0.335,0.700,103.6,Orlando Robinson,12.5,Nate Grimes,10.2,Jarred Hyder,3.0
Furman,Southern,25,06,0.806,77.1,66.0,31.8,-01.57,0.476,0.354,0.699,110.5,Jordan Lyons,16.4,Clay Mounce,06.2,Alex Hunter,3.6
Gardner-Webb,Big_South,15,15,0.500,72.7,71.1,34.8,-05.91,0.448,0.364,0.695,104.7,Eric Jamison,14.4,Eric Jamison,05.8,Christian Turner,3.8
George Mason,A-10,15,14,0.517,67.2,67.9,37.2,01.81,0.423,0.301,0.701,099.3,Javon Greene,13.8,A.J. Wilson,07.4,Javon Greene,2.6
George Washington,A-10,12,17,0.414,66.6,70.1,33.3,00.67,0.426,0.326,0.702,098.2,Armel Potter,14.5,Jamison Battle,05.1,Armel Potter,5.9
Georgetown,Big_East,15,14,0.517,75.2,73.4,38.3,09.14,0.437,0.347,0.779,104.9,Omer Yurtseven,15.8,Omer Yurtseven,10.0,Terrell Allen,4.1
Georgia Southern,Sun_Belt,18,12,0.600,75.2,70.4,35.5,-00.71,0.436,0.324,0.680,102.5,Ike Smith,14.2,Isaiah Crawley,06.0,Calvin Wishart,2.9
Georgia State,Sun_Belt,18,12,0.600,78.3,72.0,37.3,00.11,0.438,0.367,0.737,104.6,Kane Williams,14.4,Damon Wilson,04.9,Kane Williams,4.3
Georgia Tech,ACC,15,14,0.517,68.6,66.9,36.0,09.29,0.452,0.305,0.664,096.0,Michael Devoe,16.0,James Banks III,07.4,Jose Alvarado,4.1
Georgia,SEC,15,14,0.517,76.9,75.6,38.3,07.50,0.452,0.304,0.700,104.4,Anthony Edwards,19.8,Rayshaun Hammonds,07.2,Sahvir Wheeler,4.4
Gonzaga,WCC,29,02,0.935,87.7,67.6,40.4,02.72,0.515,0.390,0.687,119.8,Filip Petrusev,17.8,Filip Petrusev,07.8,Ryan Woolridge,4.5
Grambling,SWAC,15,13,0.536,71.8,69.1,35.9,-08.35,0.455,0.298,0.681,100.0,Devante Jackson,13.3,Terreon Randolph,05.7,Ivy Smith Jr.,5.2
Grand Canyon,WAC,12,17,0.414,70.8,73.4,32.4,-03.83,0.453,0.333,0.743,103.4,Alessandro Lever,16.1,Alessandro Lever,05.9,Jovan Blacksher Jr.,3.6
Green Bay,Horizon,16,15,0.516,82.2,80.6,36.3,-02.92,0.461,0.375,0.753,107.7,JayQuan McCloud,17.4,JayQuan McCloud,05.1,JayQuan McCloud,4.6
Hampton,Big_South,13,18,0.419,77.5,80.2,36.7,-05.89,0.455,0.327,0.704,106.9,Jermaine Marrow,24.3,Benjamin Stanley,07.4,Jermaine Marrow,6.5
Hartford,AEC,16,14,0.533,66.1,66.6,34.4,-05.77,0.415,0.336,0.692,095.0,Hunter Marks,10.5,Hunter Marks,06.2,Traci Carter,4.5
Harvard,Ivy,20,07,0.741,73.2,66.5,38.2,-01.81,0.458,0.329,0.698,104.2,Noah Kirkwood,12.0,Chris Lewis,06.0,Christian Juzang,2.8
Hawaii,Big_West,16,12,0.571,68.1,66.6,33.8,-01.89,0.424,0.327,0.701,098.5,Eddie Stansberry,15.5,Zigmars Raimo,06.9,Drew Buggs,5.5
High Point,Big_South,09,22,0.290,66.2,75.1,34.1,-04.99,0.407,0.317,0.706,096.9,John-Michael Wright,14.4,John-Michael Wright,05.4,John-Michael Wright,2.3
Hofstra,CAA,23,08,0.742,77.1,69.7,34.5,-03.91,0.452,0.370,0.779,110.9,Desure Buie,18.5,Isaac Kante,07.4,Desure Buie,5.9
Holy Cross,Patriot,03,28,0.097,65.9,79.7,32.2,-04.07,0.429,0.319,0.673,094.7,Joe Pridgen,17.2,Joe Pridgen,06.7,Austin Butler,2.5
Houston Baptist,Southland,03,24,0.111,79.9,94.9,36.1,-02.86,0.438,0.353,0.746,101.8,Ian Dubose,19.2,Ian Dubose,07.4,Ian Dubose,3.7
Houston,AAC,22,07,0.759,72.6,61.8,41.4,05.89,0.427,0.339,0.729,108.6,Caleb Mills,13.3,Nate Hinton,09.0,Dejon Jarreau,3.8
Howard,MEAC,02,27,0.069,69.3,81.8,32.8,-06.61,0.418,0.343,0.680,095.0,Charles Williams,17.8,Zion Cousins,07.2,Khalil Robinson,3.9
Idaho State,Big_Sky,06,20,0.231,69.2,72.5,33.1,-00.90,0.453,0.348,0.652,100.7,Tarik Cool,12.7,Chier Maker,05.7,Tarik Cool,3.1
Idaho,Big_Sky,07,22,0.241,64.6,72.6,33.8,-01.65,0.437,0.332,0.669,092.3,Trevon Allen,20.3,Quinton Forrest,05.7,Keyshaad Dixon,2.1
Illinois-Chicago,Horizon,15,16,0.484,68.3,69.7,36.7,-03.69,0.439,0.343,0.684,096.8,Tarkus Ferguson,14.4,Tarkus Ferguson,05.7,Tarkus Ferguson,4.9
Illinois State,MVC,10,20,0.333,66.2,69.9,33.7,01.99,0.425,0.354,0.705,096.4,Zach Copeland,14.6,Keith Fisher III,05.9,Ricky Torres,2.8
Illinois,Big_Ten,20,09,0.690,72.3,64.7,40.1,09.19,0.441,0.312,0.728,106.3,Ayo Dosunmu,16.4,Kofi Cockburn,09.0,Ayo Dosunmu,3.1
Incarnate Word,Southland,09,20,0.310,65.7,73.6,32.3,-06.69,0.417,0.298,0.723,093.8,Keaston Willis,12.9,Vincent Miszkiewicz,07.3,Drew Lutz,3.4
Indiana State,MVC,18,11,0.621,69.0,66.4,32.1,01.67,0.456,0.383,0.715,104.0,Tyreke Key,15.8,Jake Laravia,05.8,Jordan Barnes,3.7
Indiana,Big_Ten,18,11,0.621,71.3,67.0,37.6,10.31,0.443,0.324,0.685,103.5,Trayce Jackson-Davis,13.7,Trayce Jackson-Davis,08.1,Rob Phinisee,3.1
Iona,MAAC,11,14,0.440,70.9,72.1,33.3,-05.31,0.443,0.342,0.756,101.8,E.J. Crawford,18.8,Tajuan Agee,07.3,Isaiah Washington,3.9
Iowa State,Big_12,12,17,0.414,72.4,72.7,34.3,09.91,0.440,0.321,0.743,102.1,Tyrese Haliburton,15.2,Tyrese Haliburton,05.9,Tyrese Haliburton,6.5
Iowa,Big_Ten,20,09,0.690,78.1,71.9,37.8,10.36,0.452,0.347,0.741,110.4,Luka Garza,23.7,Luka Garza,09.8,Connor McCaffery,3.9
Purdue-Fort Wayne,Summit,13,18,0.419,68.6,70.1,35.4,-03.35,0.431,0.319,0.672,098.7,Jarred Godfrey,15.8,Dylan Carl,04.9,Jarred Godfrey,3.4
IUPUI,Horizon,07,24,0.226,70.9,79.7,35.8,-03.54,0.416,0.338,0.642,097.9,Marcus Burk,21.3,Elyjah Goss,11.7,Jaylen Minnett,3.5
Jackson State,SWAC,11,17,0.393,67.3,69.3,32.4,-07.10,0.416,0.258,0.682,094.0,Tristan Jarrett,17.4,Jayveous McKinnis,09.2,Jonas James,3.1
Jacksonville State,OVC,13,18,0.419,72.0,69.4,36.4,-06.38,0.448,0.334,0.684,102.4,Jacara Cross,12.6,Kayne Henry,06.8,Derrick Cook,3.2
Jacksonville,A-Sun,14,17,0.452,66.2,65.9,37.8,-05.63,0.426,0.315,0.674,096.9,Dave Bell,11.9,Dave Bell,10.0,Aamahne Santos,2.7
James Madison,CAA,09,20,0.310,72.3,77.0,37.5,-02.51,0.419,0.323,0.655,099.8,Matt Lewis,19.0,Dwight Wilson,09.4,Deshon Parker,4.0
Kansas State,Big_12,09,20,0.310,64.1,65.4,32.9,09.54,0.413,0.319,0.650,095.0,Xavier Sneed,14.0,Makol Mawien,05.4,Cartier Diarra,4.3
Kansas,Big_12,26,03,0.897,74.9,60.5,38.4,11.61,0.485,0.350,0.672,109.4,Devon Dotson,18.2,Udoka Azubuike,10.3,Marcus Garrett,4.7
Kennesaw State,A-Sun,01,28,0.034,55.2,75.2,32.1,-02.69,0.354,0.248,0.704,081.1,Tyler Hooker,13.5,Bryson Lockley,05.3,Tyler Hooker,2.0
Kent State,MAC,18,11,0.621,75.8,69.6,35.8,-00.95,0.452,0.343,0.725,106.8,Antonio Williams,14.4,Danny Pippen,07.0,Antonio Williams,3.7
Kentucky,SEC,24,05,0.828,74.6,65.4,37.2,06.97,0.461,0.331,0.795,107.5,Immanuel Quickley,16.3,Nick Richards,07.8,Ashton Hagans,6.4
La Salle,A-10,14,14,0.500,67.8,69.5,34.8,01.92,0.413,0.338,0.662,095.5,David Beatty,10.4,Ed Croswell,07.3,Ayinde Hikim,3.5
Lafayette,Patriot,18,11,0.621,70.2,68.1,34.8,-06.09,0.454,0.345,0.734,103.7,Justin Jaworski,17.1,Myles Cherry,07.1,Lukas Jarrett,3.0
Lamar,Southland,16,14,0.533,72.2,69.9,35.1,-06.25,0.440,0.328,0.704,099.5,T.J. Atwood,16.5,Avery Sullivan,08.2,V.J. Holmes,4.7
Lehigh,Patriot,10,20,0.333,67.9,72.7,35.1,-03.82,0.445,0.333,0.731,096.8,Jordan Cohen,14.0,Jeameril Wilson,05.4,Jordan Cohen,4.0
Liberty,A-Sun,27,04,0.871,69.0,53.6,33.5,-07.07,0.481,0.367,0.707,112.2,Caleb Homesley,15.0,Scottie James,07.4,Caleb Homesley,2.5
Lipscomb,A-Sun,14,15,0.483,70.9,70.8,35.2,-04.66,0.447,0.344,0.691,101.9,Ahsan Asadullah,17.4,Ahsan Asadullah,09.6,Ahsan Asadullah,4.0
Cal State Long Beach,Big_West,10,20,0.333,66.9,75.2,33.9,01.90,0.432,0.356,0.686,092.7,Chance Hunter,14.3,Joshua Morgan,05.9,Michael Carter III,2.6
